Kategorie,Initiative,Betreiber,Steuerung,Nutzer,Aufwand,Beschreibung,color
Kontaktnetz,Journée Romande de la Géoinformation,asit,Kantone,,,,#fb8072
Kontaktnetz,GeoBeer,GeoBeer-Team,EBP,,,,#fb8072
Kontaktnetz,GeoUnconference,"EBP, Kt SO, KOGIS",KOGIS,,,,#fb8072
Kontaktnetz,Opendata.ch-Konferenzen,opendataCH,BFS,,,,#fb8072
Kontaktnetz,GeoUnconference,"EBP, Kt SO, KOGIS",KGK,,,,#fb8072
Kontaktnetz,QGIS Usergroup Switzerland,QGIS User Group CH,QGIS User Group CH,,,,#fb8072
Kontaktnetz,Esri Userforum Schweiz,Esri  Schweiz,Esri  Schweiz,,,,#fb8072
Kontaktnetz,Hexagon Swiss Chapter GeoForum,Hexagon Swiss ,Hexagon Swiss ,,,,#fb8072
"Aus/Weiterbildung,Forschung",schoolmaps.ch,KOGIS,KOGIS,,,,#8dd3c7
"Aus/Weiterbildung,Forschung",openschoolmaps.ch,OST,OST,,,,#8dd3c7
Richtlinien und Standards,Strategie Geoinformation Schweiz,KGK,KGK,,,,#b3de69
Kontaktnetz,GIS/SIT,SOGI,SOGI,,,,#fb8072
Kontaktnetz,Geomatik-Tage,Geomatik Schweiz,Geomatik Schweiz,,,,#fb8072
Kontaktnetz,SOGI Feierabend-Seminare,SOGI,SOGI,,,,#fb8072
Kontaktnetz,IGS Weiterbildungen,Ingenieur-Geometer Schweiz,Ingenieur-Geometer Schweiz,,,,#fb8072
Kontaktnetz,GEOSUISSE Tagungen / Weiterbildungen,Schweizerischer Verband für Geomatik und Landmanagement,Schweizerischer Verband für Geomatik und Landmanagement,,,,#fb8072
Kontaktnetz,SGPF-Webinare,SGPF,SGPF,,,,#fb8072
Kontaktnetz,Data Innovation Alliance / Expertengruppe GeoSpatial Data,DataInnovationAlliance,DataInnovationAlliance,,,,#fb8072
Kontaktnetz,Intergeo,HINTE Messe- und Ausstellungs-GmbH,HINTE Messe- und Ausstellungs-GmbH,,,,#fb8072
Kontaktnetz,AGIT,Uni Salzburg,Uni Salzburg,,,,#fb8072
Kontaktnetz,FOSSGIS,FOSSGIS e.V.,FOSSGIS e.V.,,,,#fb8072
Grundlegende Geodienste,Kantonale Geodateninfrastrukturen,Kantone,Kantone,,,,#bebada
Grundlegende Geodienste,Regionale Geodateninfrastrukturen,?,?,,,,
